hcc_id,community_size,n_unique_hashtags,primary_brand,brand_label_auto,brand_combo,brand_confidence,brand_label_source,top_brand_score,second_brand,second_brand_score,top_brand_share,product_context_top_brand,product_context_top_score,product_context_second_brand,product_context_second_score,product_context_top_share,product_context_combo,azarine_score,daviena_score,maryame_score,the_originote_score,azarine_users,daviena_users,maryame_users,the_originote_users,azarine_videos,daviena_videos,maryame_videos,the_originote_videos,azarine_context_comments,daviena_context_comments,maryame_context_comments,the_originote_context_comments,azarine_context_users,daviena_context_users,maryame_context_users,the_originote_context_users,azarine_context_videos,daviena_context_videos,maryame_context_videos,the_originote_context_videos,top_brand_hashtags,top_5_hashtags_overall
130,4,10,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,hashtag_lexicon,2,Maryame,1,0.5,Azarine,4,Maryame,4,0.3333,Azarine + Maryame + The Originote,2,0,1,1,8,0,4,4,2,0,1,1,4,0,4,4,4,0,4,4,1,0,1,1,azarinecosmetic(1); marvelxazarine(1),azarinecosmetic(1); marvelxazarine(1); creamajaib(1); creamsatset(1); maryamebeautee(1)
133,3,16,Daviena,Daviena,Daviena + The Originote,Medium,hashtag_lexicon,2,The Originote,1,0.6667,Daviena,6,Maryame,5,0.4000,Daviena + Maryame + Azarine + The Originote,0,2,0,1,0,6,0,2,0,2,0,1,2,6,5,2,2,3,3,2,1,2,2,1,retinoldaviena(1); davienaretinol(1),skincareampuh(1); mencerahkankulit(1); retinol(1); mengurangitandapenuaan(1); encapsulatedretinol(1)
150,6,38,Maryame,Maryame,Maryame + The Originote,Medium,hashtag_lexicon,5,The Originote,2,0.7143,Maryame,30,The Originote,12,0.6250,Maryame + The Originote + Daviena,0,0,5,2,0,0,24,12,0,0,5,2,0,6,30,12,0,6,6,6,0,1,5,2,maryame(2); maryamebeautyglowupcream(1); maryamebeauty(1); maryamebeautee(1),maryame(2); maryamebeauty(1); cuantanpabatas(1); tipsandtricks(1); mputrizahro(1)
169,5,12,Daviena,Daviena,Daviena,High,hashtag_lexicon,4,,0,1.0,Daviena,23,,0,1.0000,Daviena,0,4,0,0,0,15,0,0,0,4,0,0,0,23,0,0,0,5,0,0,0,3,0,0,davienaskincare(2); retinoldaviena(1); davienaretinol(1),davienaskincare(2); reviewjujurdaviena(1); davienaretinolbooster(1); davienaskincareofficial(1); retinolbosterdaviena(1)
181,4,5,Azarine,Azarine,Azarine,High,hashtag_lexicon,2,,0,1.0,Azarine,18,,0,1.0000,Azarine,2,0,0,0,8,0,0,0,2,0,0,0,18,0,0,0,4,0,0,0,3,0,0,0,azarinecosmetic(1); marvelxazarine(1),acnefighter(1); retinol(1); azarinecosmetic(1); marvelxazarine(1); retinolviral(1)
182,5,8,Daviena,Daviena,Daviena,High,hashtag_lexicon,3,,0,1.0,Daviena,23,,0,1.0000,Daviena,0,3,0,0,0,15,0,0,0,3,0,0,0,23,0,0,0,5,0,0,0,3,0,0,retinoldaviena(1); davienaskincare(1); davienaretinol(1),retinoldaviena(1); davienaskincare(1); carapakeretinol(1); retinol(1); racunnabella(1)
183,6,2,Maryame,Maryame,Maryame + Azarine,Medium,product_category_fallback,12,Azarine,6,0.6667,Maryame,12,Azarine,6,0.6667,Maryame + Azarine,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,6,0,6,0,1,0,2,0,,acnefighter(1); retinol(1)
184,7,3,The Originote,The Originote,The Originote,High,hashtag_lexicon,1,,0,1.0,Daviena,7,Maryame,7,0.3333,Daviena + Maryame + The Originote,0,0,0,1,0,0,0,7,0,0,0,1,0,7,7,7,0,7,7,7,0,1,1,1,theoriginote(1),racunjuju(1); theoriginote(1); brightserum(1)
193,5,7,The Originote,The Originote,The Originote,High,hashtag_lexicon,3,,0,1.0,The Originote,23,,0,1.0000,The Originote,0,0,0,3,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,5,0,0,0,3,theoriginote(2); reviewserumtheoriginote(1),theoriginote(2); brightb3serum(1); hyalucserum(1); reviewserum(1); rekomendasiserum(1)
204,4,15,Azarine,Azarine,Azarine,High,hashtag_lexicon,1,,0,1.0,Azarine,18,,0,1.0000,Azarine,1,0,0,0,4,0,0,0,1,0,0,0,18,0,0,0,4,0,0,0,3,0,0,0,azarine(1),serumazarine(2); retinol(2); azarineretinol(1); retinolserum(1); serumazarinemarvel(1)
205,5,9,The Originote,The Originote,The Originote,High,hashtag_lexicon,3,,0,1.0,The Originote,23,,0,1.0000,The Originote,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,23,0,0,0,5,0,0,0,3,theoriginote(3),theoriginote(3); capcut(1); niacinamideserum(1); brighteningserum(1); brightb3serum(1)
206,5,5,Maryame,Maryame,Maryame,High,hashtag_lexicon,3,,0,1.0,Maryame,23,,0,1.0000,Maryame,0,0,3,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,5,0,0,0,3,0,maryame(2); maryamebeautyglowupcream(1),maryame(2); maryamebeautyglowupcream(1); creamviral(1); skincareviral(1); dokterdetektif(1)
