model_id,seed,positive_threshold,margin_positive_neutral,margin_positive_negative,abstention_threshold,safety_constraints_passed,full_development_constraints_passed,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,coverage,abstention_rate,class_collapse,minimum_recall,positive_precision,positive_recall,positive_f1,neutral_recall,negative_recall,positive_to_neutral,positive_to_negative,positive_to_uncertain,neutral_to_positive,negative_to_positive,all_evaluable_accuracy_abstain_wrong,negative_precision,negative_f1,negative_support,neutral_precision,neutral_f1,neutral_support,positive_support,all_ece,all_brier_score,all_mean_confidence,covered_ece,covered_brier_score,covered_mean_confidence
char_wb_3_6_linearsvc_balanced,42,0.3,0.0,0.0,0.5,False,False,0.7885117493472585,0.7436996403269646,0.787728904531212,0.7485255409644845,0.6423695530203852,0.7014652014652014,0.2985347985347986,False,0.5783132530120482,0.6346153846153846,0.8048780487804879,0.7096774193548387,0.8623853211009175,0.5783132530120482,10,6,31,20,18,0.5531135531135531,0.75,0.6530612244897959,83,0.8744186046511628,0.8683602771362586,218,82,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.18770674572475785,0.37070034851449474,0.6008050036225007
char_wb_3_6_linearsvc_balanced,42,0.3,0.0,0.05,0.35,True,False,0.7169459962756052,0.6789018313624265,0.7150107588045856,0.6729997701828688,0.5291035879812916,0.9835164835164835,0.016483516483516536,False,0.5727272727272728,0.6631578947368421,0.5727272727272728,0.6146341463414634,0.8169014084507042,0.6293706293706294,22,25,3,20,12,0.7051282051282052,0.6122448979591837,0.6206896551724138,143,0.7864406779661017,0.8013816925734024,284,110,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.15945175406192819,0.4381131265982117,0.5556320448207532
char_wb_3_6_linearsvc_balanced,42,0.3,0.0,0.05,0.4,True,False,0.7386138613861386,0.7017559169794003,0.7379599392686881,0.6995533141593038,0.5580322283820268,0.924908424908425,0.07509157509157505,False,0.6356589147286822,0.6631578947368421,0.6428571428571429,0.6528497409326425,0.8201438848920863,0.6356589147286822,19,16,15,20,12,0.6831501831501832,0.640625,0.6381322957198443,129,0.8085106382978723,0.8142857142857143,278,98,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1698960592104991,0.4256573330388575,0.5667376041558376
char_wb_3_6_linearsvc_balanced,42,0.3,0.0,0.05,0.42,False,False,0.7474120082815735,0.7067188486548311,0.7460544151162389,0.7037750981874699,0.5691658601912105,0.8846153846153846,0.11538461538461542,False,0.6186440677966102,0.6631578947368421,0.65625,0.6596858638743456,0.8364312267657993,0.6186440677966102,18,15,17,20,12,0.6611721611721612,0.6517857142857143,0.6347826086956522,118,0.8152173913043478,0.8256880733944955,269,96,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17348984636843925,0.4164234951440408,0.5739221619131342
char_wb_3_6_linearsvc_balanced,42,0.3,0.0,0.05,0.45,False,False,0.7600896860986547,0.7181266281462745,0.7600638837522906,0.7196854979615609,0.5879967675213627,0.8168498168498168,0.18315018315018317,False,0.6237623762376238,0.6631578947368421,0.7,0.6810810810810811,0.8352941176470589,0.6237623762376238,15,12,23,20,12,0.6208791208791209,0.6494845360824743,0.6363636363636364,101,0.8385826771653543,0.8369351669941061,255,90,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17478766949179803,0.3990980576959372,0.5853020166068567
char_wb_3_6_linearsvc_balanced,42,0.3,0.0,0.05,0.5,False,False,0.7994652406417112,0.7577830906668428,0.7992913606479202,0.7610767663026401,0.6536303839837952,0.684981684981685,0.315018315018315,False,0.6233766233766234,0.6631578947368421,0.7974683544303798,0.7241379310344828,0.8623853211009175,0.6233766233766234,10,6,34,20,12,0.5476190476190477,0.75,0.6808510638297872,77,0.8744186046511628,0.8683602771362586,218,79,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1932549021031793,0.3649057851783209,0.6062103385385319
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,-0.05,0.35,False,False,0.7100371747211895,0.6653602800558777,0.7058841182549542,0.6585667814984252,0.5158184458558831,0.9853479853479854,0.0146520146520146,False,0.5655172413793104,0.6363636363636364,0.5727272727272728,0.6028708133971292,0.8374558303886925,0.5655172413793104,26,21,3,14,22,0.6996336996336996,0.6074074074074074,0.5857142857142857,145,0.7796052631578947,0.807495741056218,283,110,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1584921534183403,0.43847661733127036,0.5552624934218084
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,-0.05,0.4,False,False,0.7312252964426877,0.6885505060467628,0.7290004729692794,0.6864875864875865,0.5486835860189752,0.9267399267399268,0.07326007326007322,False,0.5777777777777777,0.6363636363636364,0.6428571428571429,0.6395939086294417,0.8388278388278388,0.5777777777777777,19,16,15,14,22,0.6776556776556777,0.6290322580645161,0.6023166023166023,135,0.8091872791519434,0.8237410071942446,273,98,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.16876482710002091,0.4260124573564657,0.5664130385126273
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,-0.05,0.42,False,False,0.7407407407407407,0.6953584230895156,0.7375398955230887,0.6928974806143527,0.5635468619116106,0.8901098901098901,0.10989010989010994,False,0.5669291338582677,0.6363636363636364,0.65625,0.6461538461538462,0.8555133079847909,0.5669291338582677,18,15,17,14,22,0.6593406593406593,0.6486486486486487,0.6050420168067226,127,0.8152173913043478,0.8348794063079777,263,96,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17400404531417588,0.41737054895305686,0.5729095349327377
char_wb_3_6_linearsvc_balanced,42,0.3,0.05,-0.05,0.45,False,False,0.7533333333333333,0.7064514621671679,0.7513846408727125,0.7076630847715185,0.5830224378223821,0.8241758241758241,0.17582417582417587,False,0.5675675675675675,0.6363636363636364,0.7,0.6666666666666666,0.8554216867469879,0.5675675675675675,15,12,23,14,22,0.6208791208791209,0.6494845360824743,0.6057692307692307,111,0.8385826771653543,0.8469184890656064,249,90,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17619847073084677,0.40045942786789895,0.5838015292691532
