exact_group_id,normalized_text,representative_comment_text,n_comments,n_unique_accounts,n_unique_videos,n_unique_brands,n_actor_types,actor_types,actor_pair_scope,accounts,platform_usernames,comment_ids,video_ids,video_urls,brands,hcc_ids,contains_community_actor,contains_mass_actor,contains_lcn_edge_account_pair,presentation_eligible
EXACT_GROUP_00224,brp hrg nya,brp hrg nya,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_0c7a5b021681;MASS_f7887f1ce0e4,baim_wong7717;user2245504324834,7388667117216678661;7399660287765070597,7385065641595653382,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,Maryame,,False,True,False,False
EXACT_GROUP_00225,brp ka,BRP ka,6,6,4,2,1,Mass Actor,Mass–Mass,MASS_034edde4ea32;MASS_0f46d2bfcfcc;MASS_4b4560417b0c;MASS_838f359a05eb;MASS_874974403f7c;MASS_b1f32aa721ec,1nirina;desiyantins;jessy_amoy;mamah_rln;pisces1_66;serendyvtry,7383193128473477894;7389218613346976518;7463724591435498258;7471174851823158017;7477908826373997313;7514156614012011282,7262186413284822277;7340938843190725893;7378347819268082950;7430007251076697350,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X;https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z;https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00226,brp ka?,brp ka?,4,4,4,2,1,Mass Actor,Mass–Mass,MASS_0d522f8d7198;MASS_585ff46c9837;MASS_d5eb5f5e6159;MASS_f1862778a243,justbe.myself7;krynae.ne;maicha_205;tanti2796,7381101868669420294;7450514177993065223;7460409031874708242;7542774521083724551,7279666593129434374;7378347819268082950;7385065641595653382;7418812570569641221,https://www.tiktok.com/@deswitatata2/video/7279666593129434374?_r=1&_t=ZS-9702EZVUuGo;https://www.tiktok.com/@iketiaaa/video/7418812570569641221?_r=1&_t=ZS-9707LeDmYUr;https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X;https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00227,brp kak,BRP kak,13,13,8,2,1,Mass Actor,Mass–Mass,MASS_1b63e5bf0982;MASS_300aac8a08d0;MASS_37594f83ac62;MASS_3d6c8f78a346;MASS_3d85bbb26ea6;MASS_5b5a66ff66f5;MASS_6360123c9f8a;MASS_a762ae504f72;MASS_a7bc9a546822;MASS_aa9ba77cc274;MASS_d9ee6def83dc;MASS_da931d8dd9fe;...(+1),ariefhermansyah87;cahdeso1122;cszaaaassr;langitblueeys_;llars23;nazwaandr;nnbilaa20;rizkibagjamaulana0;taylorrvswift;unzilaturrohmahhh;user2688061358768;windiiii59;...(+1),7382460073555133189;7385424517830935301;7388812997491671813;7388916767487787781;7398147810171126534;7402906372067672837;7424513669390664454;7441410974416405266;7450943576609784582;7475269479980630804;7510834062539277074;7548350718965465874;...(+1),7262186413284822277;7340938843190725893;7378347819268082950;7385065641595653382;7418812570569641221;7421364555957275910;7429636271552728326;7507827983269350661,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@dewihanijayanti/video/7507827983269350661?_r=1&_t=ZS-9702OSYYkz4;https://www.tiktok.com/@iketiaaa/video/7418812570569641221?_r=1&_t=ZS-9707LeDmYUr;https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X;https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z;...(+3),Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00228,brp kak?,brp kak?,5,3,2,2,1,Mass Actor,Mass–Mass,MASS_5eb61e13e79b;MASS_787a8c5e95ad;MASS_9433bc4d9bfd,adorablecutee_;ice.macchiato;queennira0,7386963975122666245;7424348377577931526;7424363040881246982;7473735076037886725;7473735597623739142,7262186413284822277;7378347819268082950,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@irnaayu27/video/7378347819268082950?_r=1&_t=ZS-977bzKce12X,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00229,brp kk?,brp kk?,3,3,3,2,1,Mass Actor,Mass–Mass,MASS_7ab1f73d5184;MASS_ca5b91efcf9d;MASS_de824df98e34,dhiedhia1307;papimami_ndeso;susianacinaga,7360690017242923781;7463062103156065032;7476593197880296199,7262186413284822277;7357662447248968966;7430007251076697350,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0;https://www.tiktok.com/@thisisalulaa/photo/7357662447248968966?_r=1&_t=ZS-970En9Gwumu,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00230,brp sepaket itu kk,brp sepaket itu kk,2,2,1,1,1,Mass Actor,Mass–Mass,MASS_8b54abb9639f;MASS_97e2e8c1e5e5,marlina1948;umi.zhuro,7397871121468523269;7399648087570137861,7385065641595653382,https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,Maryame,,False,True,False,True
EXACT_GROUP_00231,brp?,brp?,4,4,4,2,1,Mass Actor,Mass–Mass,MASS_37fa134bcce1;MASS_7efbbc3bd0b8;MASS_937b8e6a49a5;MASS_f95fbc4c6831,avaa_yaaa;giew58;guny_270823;jiewashagikar,7407036353013089030;7445283875578954514;7478178433236108039;7525762274721186568,7262186413284822277;7389110955214490886;7418812570569641221;7430007251076697350,https://www.tiktok.com/@daviena_dvn/video/7389110955214490886?_r=1&_t=ZS-9707GPqX4Ub;https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@iketiaaa/video/7418812570569641221?_r=1&_t=ZS-9707LeDmYUr;https://www.tiktok.com/@nooraabeautycreator/video/7430007251076697350?_r=1&_t=ZS-9702Cpl4Gl0,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00232,brpa ka,brpa ka,4,4,4,2,1,Mass Actor,Mass–Mass,MASS_9330ac051c81;MASS_b3b8dd198809;MASS_e2b300270d63;MASS_ed14966926b4,ittalestari4;rikahandika0;semuacowogantengpunyaku2;styo.andni,7385346887135970053;7398471863078994694;7470563627666801413;7497522333318824711,7262186413284822277;7313744314927041797;7340938843190725893;7385065641595653382,https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@juliadoang08/video/7340938843190725893?_r=1&_t=ZS-970Ev8Asl4Z;https://www.tiktok.com/@mayhapid2/video/7385065641595653382?_r=1&_t=ZS-9702NL74eSm,Daviena;Maryame,,False,True,False,True
EXACT_GROUP_00233,brpa kak,brpa kak,3,3,2,2,1,Mass Actor,Mass–Mass,MASS_4f6481d1d7b3;MASS_81abf87f7b59;MASS_df8785ca85a8,fetriwulandari10;ngapaintanyaaku;wulandari15.2,7476707457819116295;7477541989765972743;7526962692307125008,7262186413284822277;7418812570569641221,https://www.tiktok.com/@deswitatata2/video/7262186413284822277?_r=1&_t=ZS-97027ztq3fT;https://www.tiktok.com/@iketiaaa/video/7418812570569641221?_r=1&_t=ZS-9707LeDmYUr,Daviena;Maryame,,False,True,False,True
