macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,ece,brier_score,model_id,fold,preprocessing,feature_kind,classifier_kind,class_weight,C,coverage,abstention_rate,class_collapse,precision_Negative,recall_Negative,f1_Negative,support_Negative,precision_Neutral,recall_Neutral,f1_Neutral,support_Neutral,precision_Positive,recall_Positive,f1_Positive,support_Positive
0.5312007701732889,0.6210959194213761,0.6604938271604939,0.536980419673884,0.40540601788773967,0.2109849366370586,0.16855703437321998,tfidf_word_logreg_social_C1_balanced,11,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.5454545454545454,0.5581395348837209,0.5517241379310345,43,0.7090909090909091,0.896551724137931,0.7918781725888325,87,0.625,0.15625,0.25,32
0.6110304363769711,0.6756318116283678,0.7018633540372671,0.5884143449655517,0.4775686313253894,0.217731732204379,0.1652152163126651,tfidf_word_logreg_social_C1_balanced,12,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6875,0.5116279069767442,0.5866666666666667,43,0.7043478260869566,0.9310344827586207,0.801980198019802,87,0.7142857142857143,0.3225806451612903,0.4444444444444444,31
0.5295844625112918,0.6057928933326601,0.639751552795031,0.5166550258254219,0.3552096026734367,0.20867751864016576,0.1673183417367358,tfidf_word_logreg_social_C1_balanced,13,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.5862068965517241,0.3953488372093023,0.4722222222222222,43,0.6610169491525424,0.896551724137931,0.7609756097560976,87,0.5714285714285714,0.25806451612903225,0.35555555555555557,31
0.558094838065054,0.6373272987277973,0.6770186335403726,0.5488360726545273,0.4338995100023997,0.2131034154547599,0.16482184815773235,tfidf_word_logreg_social_C1_balanced,14,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6571428571428571,0.5227272727272727,0.5822784810126582,44,0.6779661016949152,0.9302325581395349,0.7843137254901961,86,0.75,0.1935483870967742,0.3076923076923077,31
0.6001781439625898,0.6588518912063202,0.6894409937888198,0.5731589147286822,0.4616986869484678,0.20523208344603905,0.16445895572101288,tfidf_word_logreg_social_C1_balanced,15,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.7142857142857143,0.46511627906976744,0.5633802816901409,43,0.6694214876033058,0.9418604651162791,0.782608695652174,86,0.8333333333333334,0.3125,0.45454545454545453,32
0.5979600886917961,0.666096192275054,0.6975308641975309,0.5797246725474472,0.4730719898393956,0.21997091077966663,0.16768559542223135,tfidf_word_logreg_raw_C1_balanced,1,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.75,0.5581395348837209,0.64,43,0.6864406779661016,0.9310344827586207,0.7902439024390244,87,0.6666666666666666,0.25,0.36363636363636365,32
0.53997267858654,0.6313715393107805,0.6708074534161491,0.5385714244653117,0.41689159603898435,0.195491225685049,0.16638483113190175,tfidf_word_logreg_raw_C1_balanced,2,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.6571428571428571,0.5348837209302325,0.5897435897435898,43,0.6956521739130435,0.9195402298850575,0.7920792079207921,87,0.45454545454545453,0.16129032258064516,0.23809523809523808,31
0.5580329493372972,0.6272737974061227,0.6521739130434783,0.5420809225294829,0.38408539619052295,0.1842125415326994,0.17362280101731498,tfidf_word_logreg_raw_C1_balanced,3,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.5142857142857142,0.4186046511627907,0.46153846153846156,43,0.6936936936936937,0.8850574712643678,0.7777777777777778,87,0.6666666666666666,0.3225806451612903,0.43478260869565216,31
0.5987281419086065,0.6629568228530935,0.6956521739130435,0.5736945600036373,0.47320872220786103,0.2144344947012277,0.1626455503256466,tfidf_word_logreg_raw_C1_balanced,4,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.7241379310344828,0.4772727272727273,0.5753424657534246,44,0.6776859504132231,0.9534883720930233,0.7922705314009661,86,0.8181818181818182,0.2903225806451613,0.42857142857142855,31
0.5515416846897625,0.6114249045274587,0.6521739130434783,0.529312015503876,0.39070184561672266,0.19558080079104032,0.16831804622708257,tfidf_word_logreg_raw_C1_balanced,5,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.6842105263157895,0.3023255813953488,0.41935483870967744,43,0.6328125,0.9418604651162791,0.7570093457943925,86,0.7857142857142857,0.34375,0.4782608695652174,32
0.5501730884160436,0.631819493568645,0.6728395061728395,0.5433874632451215,0.42431973826108166,0.22176261907500494,0.16748973518461532,tfidf_word_logreg_raw_C1_balanced,6,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.6470588235294118,0.5116279069767442,0.5714285714285714,43,0.680672268907563,0.9310344827586207,0.7864077669902912,87,0.6666666666666666,0.1875,0.2926829268292683,32
0.5897566959721938,0.6473780590792316,0.6708074534161491,0.56741771649809,0.41856747932912836,0.19131975642912896,0.16737168505592337,tfidf_word_logreg_raw_C1_balanced,7,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.6,0.4186046511627907,0.4931506849315068,43,0.6842105263157895,0.896551724137931,0.7761194029850746,87,0.7058823529411765,0.3870967741935484,0.5,31
0.5358387005306436,0.6200513031854469,0.6645962732919255,0.5268989661208405,0.4039117552214905,0.21050440591829406,0.17069713829782784,tfidf_word_logreg_raw_C1_balanced,8,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.7241379310344828,0.4883720930232558,0.5833333333333334,43,0.6532258064516129,0.9310344827586207,0.7677725118483413,87,0.625,0.16129032258064516,0.2564102564102564,31
0.5823918075761524,0.651049671444749,0.6832298136645962,0.5627656914228557,0.4469513264901892,0.20560976125705377,0.16732416708583933,tfidf_word_logreg_raw_C1_balanced,9,minimal_raw,word,logreg,balanced,1.0,1.0,0.0,False,0.7333333333333333,0.5,0.5945945945945946,44,0.6722689075630253,0.9302325581395349,0.7804878048780488,86,0.6666666666666666,0.25806451612903225,0.37209302325581395,31
