username,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,is_hcc_member,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,degree,weighted_degree,betweenness,narrative_similarity_level
niluhdiubud,2,2,0,0,2,0.0,0.0,1.0,Negative,0.8259414434432983,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
theycallme.wanda,1,1,1,0,0,1.0,0.0,0.0,Positive,0.4228663444519043,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
tary.matahari0,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9839222431182861,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
denisawildit,1,1,0,0,1,0.0,0.0,1.0,Negative,0.99815434217453,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
yuniark13,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9319157600402832,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
nadrah.rizky,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9968836903572083,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mpittt009,1,1,1,0,0,1.0,0.0,0.0,Positive,0.49858489632606506,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
_naaddd_,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9764758348464966,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
rendang.sapi10,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.5312308073043823,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
yani.banurea,1,1,0,0,1,0.0,0.0,1.0,Negative,0.997192919254303,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
joeeydd,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9981138706207275,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
azizah8276,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9976068735122681,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
ruqoyyahayoeyy,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9773666262626648,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
itsryn31,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9978371262550354,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
jaemin.gf414,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9951363205909729,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
thislika_17,1,1,0,0,1,0.0,0.0,1.0,Negative,0.99481201171875,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
user210395301295,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.6367485523223877,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
n4makuy4s,1,1,0,0,1,0.0,0.0,1.0,Negative,0.994723916053772,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
ashima_maziyyah,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9848239421844482,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
yqjaojey,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9890398979187012,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sakuraaa438,2,2,1,0,1,0.5,0.0,0.5,Mixed,0.8513684272766113,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
itsshil8,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9982043504714966,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
user7518863503632,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9980965256690979,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
anggitalangsa,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9972357153892517,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
kimjojoooo,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.5746846795082092,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
lala521_,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9959152340888977,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
bdencass,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9982155561447144,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
matadaily.id0,1,1,1,0,0,1.0,0.0,0.0,Positive,0.6754859089851379,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
match4dpnmu_,1,1,1,0,0,1.0,0.0,0.0,Positive,0.3729034662246704,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
aku_lah_8,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9808985590934753,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
apriljmvyrg,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9965150356292725,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
lia123541,1,1,0,0,1,0.0,0.0,1.0,Negative,0.8668431639671326,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
holilatun1,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9947358965873718,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
afnansyabil2341,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9950522780418396,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sittisusitasari,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9906309247016907,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
ida_zaleha,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9585208296775818,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
inisial_d623,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9689862728118896,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
ibay541,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.5610123872756958,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sailanfa108,1,1,0,0,1,0.0,0.0,1.0,Negative,0.998191773891449,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
maminya_cece,3,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,Neutral,0.9274494051933289,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
taa.475,6,6,0,4,2,0.0,0.6666666666666666,0.3333333333333333,Neutral,0.86943519115448,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
shintaputripermat,2,2,0,1,1,0.0,0.5,0.5,Mixed,0.94432333111763,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
.saaaaanty,1,1,0,0,1,0.0,0.0,1.0,Negative,0.8363016247749329,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mic411_,2,2,0,1,1,0.0,0.5,0.5,Mixed,0.8751861453056335,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
iniiiiiwulannn,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9918888211250305,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
vava_jack,1,1,0,0,1,0.0,0.0,1.0,Negative,0.815475344657898,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mmgmy00,8,8,1,7,0,0.125,0.875,0.0,Neutral,0.8811615966260433,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
tiwifnh,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.9668275415897369,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
choco_latte004,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.9041025638580322,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
racheludah6,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.7826876044273376,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sptemb_er,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9950010180473328,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
pinkbiru023,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9931233525276184,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
krynae.ne,5,5,0,4,1,0.0,0.8,0.2,Neutral,0.9075199961662292,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
hidupbahagia091,4,4,0,4,0,0.0,1.0,0.0,Neutral,0.9652671962976456,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
syadiba.almairap,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.7124392986297607,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
anakpertamasatusatunyaa,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.943494975566864,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
yossi.20,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.7704300284385681,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
zhsyaff,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.980818510055542,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
langitblueeys_,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9916560649871826,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
choco.vanilla12,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.8683522939682007,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
skinclub_ct998,3,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,Positive,0.9632753729820251,True,46,The Originote,The Originote,The Originote + Daviena,Medium,6.0,4.5,0.0,Low
akunberdua210323,9,9,0,9,0,0.0,1.0,0.0,Neutral,0.5917378928926256,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
taurusgirllll88,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.5318072438240051,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
rizki.aditya744,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.8918767869472504,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
diva.putri354,2,2,0,1,1,0.0,0.5,0.5,Mixed,0.8168700933456421,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
iketiaaa,11,11,6,3,2,0.5454545454545454,0.2727272727272727,0.18181818181818182,Positive,0.9150458899411288,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mamayymarhamah,1,1,0,0,1,0.0,0.0,1.0,Negative,0.6312733888626099,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
princesnyajujunpy,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.920753538608551,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
bycaaaaa_,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.9875430762767792,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
nomnom_064,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.963099330663681,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
titiktengah1,2,2,0,2,0,0.0,1.0,0.0,Neutral,0.9700342118740082,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
deviayuk28,1,1,1,0,0,1.0,0.0,0.0,Positive,0.6145384907722473,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
growthmel,4,4,0,4,0,0.0,1.0,0.0,Neutral,0.9850194901227951,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
stwaberry22,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9826299548149109,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
likeematchaaa_,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.5318072438240051,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
glowhunter_ct4328,4,4,0,3,1,0.0,0.75,0.25,Neutral,0.8412094265222549,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
intanrima_,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9349061250686646,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
_hriskaa,2,2,0,1,1,0.0,0.5,0.5,Mixed,0.9862766861915588,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
akusiapaa5363,1,1,0,0,1,0.0,0.0,1.0,Negative,0.988734245300293,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
miaaa01999,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.7713221907615662,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
dellapriliaaaaa,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9239860773086548,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
gege7959,3,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,Negative,0.9404043157895406,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
niaaaaww13,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9958179593086243,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
may.bilqis1,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.7958258986473083,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
thzfy2,3,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,Positive,0.8078916668891907,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
dodosolsollalasol0222,1,1,1,0,0,1.0,0.0,0.0,Positive,0.4821028411388397,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
