candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,selected_threshold
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.75,277,42,0.15162454873646208,0.8801274944567629,0.9365332330271353,0.9285714285714286,0.9449112978524742,0.8876146730773163,1.0,0.8823529411764706,0.8823529411764706,0.7272727272727273,1.7866055013312228,0.14181255126222897,0.08237606991155821,23,1.0,0.9523809523809523,0.975609756097561,21,1.0,0.9375,17,0.5714285714285714,0.7272727272727273,4,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.76,277,36,0.1299638989169675,0.8723041223041225,0.9253401128401129,0.9166666666666666,0.9311740890688259,0.8703340144784097,1.0,0.8461538461538461,0.8461538461538461,0.7272727272727273,1.9313108172791809,0.14927448913137936,0.05523652040320571,23,1.0,0.9473684210526315,0.972972972972973,19,1.0,0.9166666666666666,13,0.5714285714285714,0.7272727272727273,4,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.77,277,32,0.11552346570397112,0.8428428428428428,0.9179804804804805,0.90625,0.9157894736842106,0.8464266220258715,1.0,0.8,0.8,0.6666666666666666,2.0429079566769217,0.15665605364986573,0.06483572147594896,23,1.0,0.9473684210526315,0.972972972972973,19,1.0,0.8888888888888888,10,0.5,0.6666666666666666,3,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.78,277,31,0.11191335740072202,0.8880498145204028,0.9421637007026002,0.9354838709677419,0.94541910331384,0.8890424346177315,1.0,0.8888888888888888,0.8888888888888888,0.75,2.0416758434663684,0.11725971198317536,0.05859928677739831,23,1.0,0.9473684210526315,0.972972972972973,19,1.0,0.9411764705882353,9,0.6,0.75,3,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.79,277,27,0.09747292418772563,0.9267399267399267,0.964183964183964,0.9629629629629629,0.9523809523809524,0.9324958427727551,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,2.2248548024684616,0.08051785354611972,0.07278373345501901,23,1.0,1.0,1.0,17,1.0,0.9230769230769231,7,0.75,0.8571428571428571,3,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.8,277,25,0.09025270758122744,0.903030303030303,0.9621818181818181,0.96,0.9444444444444445,0.9197787397065171,1.0,0.8333333333333334,0.8333333333333334,0.8,2.327593225064881,0.08125773861575224,0.06230736204868867,23,1.0,1.0,1.0,17,1.0,0.9090909090909091,6,0.6666666666666666,0.8,2,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.81,277,23,0.08303249097472924,0.8585858585858586,0.9617918313570487,0.9565217391304348,0.9444444444444445,0.9084595170296195,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,2.370720949071399,0.08261139009230975,0.050630642305299345,23,1.0,1.0,1.0,16,1.0,0.9090909090909091,6,0.5,0.6666666666666666,1,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.82,277,22,0.07942238267148015,0.6363636363636364,0.9752066115702479,0.9545454545454546,0.9166666666666667,0.8936889100726263,0.0,0.8333333333333334,0.0,0.0,2.397328078433537,0.08355797354344627,0.044621975865241706,23,1.0,1.0,1.0,16,1.0,0.9090909090909091,6,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.83,277,21,0.07581227436823104,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.39978422654088,0.01621819580074877,0.08581312805935933,23,1.0,1.0,1.0,16,1.0,1.0,5,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.84,277,19,0.06859205776173286,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.6331193065979086,0.013135517959446315,0.07723390555812312,23,1.0,1.0,1.0,16,1.0,1.0,3,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.85,277,17,0.061371841155234655,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.798252805339328,0.010213803261000586,0.06800515160258092,23,1.0,1.0,1.0,15,1.0,1.0,2,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.86,277,15,0.05415162454873646,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.021483869537471,0.007153614595400031,0.058194731845978585,23,1.0,1.0,1.0,14,1.0,1.0,1,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.87,277,14,0.05054151624548736,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.226632051747384,0.005572596343717581,0.05243839346359958,23,1.0,1.0,1.0,14,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.88,277,14,0.05054151624548736,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.226632051747384,0.005572596343717581,0.05243839346359958,23,1.0,1.0,1.0,14,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.89,277,13,0.04693140794223827,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.302615173751642,0.004010623508721136,0.04725905074166148,23,1.0,1.0,1.0,13,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.9,277,13,0.04693140794223827,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.302615173751642,0.004010623508721136,0.04725905074166148,23,1.0,1.0,1.0,13,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.91,277,13,0.04693140794223827,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.302615173751642,0.004010623508721136,0.04725905074166148,23,1.0,1.0,1.0,13,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.92,277,13,0.04693140794223827,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.302615173751642,0.004010623508721136,0.04725905074166148,23,1.0,1.0,1.0,13,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.93,277,13,0.04693140794223827,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.302615173751642,0.004010623508721136,0.04725905074166148,23,1.0,1.0,1.0,13,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.94,277,11,0.039711191335740074,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.364063816518916,0.0035290791327988557,0.044541958388685354,23,1.0,1.0,1.0,11,0.0,0.0,0,0.0,0.0,0,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.95,277,6,0.021660649819494584,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5882831301892986,0.002354564148488757,0.037401135550541365,23,1.0,1.0,1.0,6,0.0,0.0,0,0.0,0.0,0,False
