group_type,group_name,token,count,rank
hcc_status,HCC,lengket,15,93
hcc_status,HCC,alhamdulillah,15,94
hcc_status,HCC,dok,15,95
hcc_status,HCC,bruntusan,14,96
hcc_status,HCC,nyerep,14,97
hcc_status,HCC,sumpah,14,98
hcc_status,HCC,nyaman,14,99
hcc_status,HCC,lama,14,100
hcc_status,Non-HCC,dok,6088,1
hcc_status,Non-HCC,ada,2307,2
hcc_status,Non-HCC,mau,1999,3
hcc_status,Non-HCC,retinol,1858,4
hcc_status,Non-HCC,gak,1569,5
hcc_status,Non-HCC,sama,1485,6
hcc_status,Non-HCC,apa,1372,7
hcc_status,Non-HCC,cek,1327,8
hcc_status,Non-HCC,cream,1280,9
hcc_status,Non-HCC,boleh,1203,10
hcc_status,Non-HCC,kalo,1200,11
hcc_status,Non-HCC,buat,1178,12
hcc_status,Non-HCC,beli,1162,13
hcc_status,Non-HCC,serum,1143,14
hcc_status,Non-HCC,aman,1058,15
hcc_status,Non-HCC,baru,1047,16
hcc_status,Non-HCC,cocok,947,17
hcc_status,Non-HCC,kulit,945,18
hcc_status,Non-HCC,glow,936,19
hcc_status,Non-HCC,tapi,856,20
hcc_status,Non-HCC,klo,830,21
hcc_status,Non-HCC,pke,799,22
hcc_status,Non-HCC,udh,748,23
hcc_status,Non-HCC,lagi,744,24
hcc_status,Non-HCC,masih,728,25
hcc_status,Non-HCC,tolong,726,26
hcc_status,Non-HCC,bagus,696,27
hcc_status,Non-HCC,muka,690,28
hcc_status,Non-HCC,jerawat,673,29
hcc_status,Non-HCC,kalau,632,30
hcc_status,Non-HCC,okypratamaa,561,31
hcc_status,Non-HCC,minta,556,32
hcc_status,Non-HCC,maaf,545,33
hcc_status,Non-HCC,dokter,537,34
hcc_status,Non-HCC,soalnya,536,35
hcc_status,Non-HCC,hari,514,36
hcc_status,Non-HCC,kedua,501,37
hcc_status,Non-HCC,mana,496,38
hcc_status,Non-HCC,malam,484,39
hcc_status,Non-HCC,malah,478,40
hcc_status,Non-HCC,berapa,470,41
hcc_status,Non-HCC,dulu,462,42
hcc_status,Non-HCC,kan,461,43
hcc_status,Non-HCC,gimana,453,44
hcc_status,Non-HCC,paket,437,45
hcc_status,Non-HCC,krim,402,46
hcc_status,Non-HCC,skin,401,47
hcc_status,Non-HCC,beauty,400,48
hcc_status,Non-HCC,tau,396,49
hcc_status,Non-HCC,bener,389,50
hcc_status,Non-HCC,harga,386,51
hcc_status,Non-HCC,owner,386,52
hcc_status,Non-HCC,moist,382,53
hcc_status,Non-HCC,pakek,348,54
hcc_status,Non-HCC,banyak,348,55
hcc_status,Non-HCC,glowing,346,56
hcc_status,Non-HCC,lebih,340,57
hcc_status,Non-HCC,siang,337,58
hcc_status,Non-HCC,pernah,337,59
hcc_status,Non-HCC,brp,337,60
hcc_status,Non-HCC,kaya,333,61
hcc_status,Non-HCC,day,329,62
hcc_status,Non-HCC,toner,328,63
hcc_status,Non-HCC,takut,326,64
hcc_status,Non-HCC,the,325,65
hcc_status,Non-HCC,pagi,324,66
hcc_status,Non-HCC,acne,323,67
hcc_status,Non-HCC,dia,318,68
hcc_status,Non-HCC,cara,316,69
hcc_status,Non-HCC,flek,313,70
hcc_status,Non-HCC,moisturizer,306,71
hcc_status,Non-HCC,alhamdulillah,304,72
hcc_status,Non-HCC,langsung,300,73
hcc_status,Non-HCC,jual,300,74
hcc_status,Non-HCC,gitu,298,75
hcc_status,Non-HCC,pas,296,76
hcc_status,Non-HCC,terus,296,77
hcc_status,Non-HCC,umur,295,78
hcc_status,Non-HCC,dipake,291,79
hcc_status,Non-HCC,seruni,291,80
hcc_status,Non-HCC,vit,289,81
hcc_status,Non-HCC,emang,286,82
hcc_status,Non-HCC,lain,285,83
hcc_status,Non-HCC,tpi,283,84
hcc_status,Non-HCC,make,281,85
hcc_status,Non-HCC,yaa,281,86
hcc_status,Non-HCC,gantiin,280,87
hcc_status,Non-HCC,ngga,276,88
hcc_status,Non-HCC,bikin,273,89
hcc_status,Non-HCC,punya,273,90
hcc_status,Non-HCC,doktif,271,91
hcc_status,Non-HCC,night,270,92
hcc_status,Non-HCC,kali,265,93
hcc_status,Non-HCC,abis,264,94
hcc_status,Non-HCC,semangat,264,95
hcc_status,Non-HCC,mlm,263,96
hcc_status,Non-HCC,pengen,258,97
hcc_status,Non-HCC,cuma,255,98
hcc_status,Non-HCC,habis,252,99
hcc_status,Non-HCC,tiap,250,100
brand_label_auto,Azarine,retinol,42,1
brand_label_auto,Azarine,kulit,18,2
brand_label_auto,Azarine,sama,15,3
brand_label_auto,Azarine,gak,13,4
brand_label_auto,Azarine,boleh,11,5
brand_label_auto,Azarine,cocok,11,6
brand_label_auto,Azarine,buat,10,7
brand_label_auto,Azarine,mau,9,8
brand_label_auto,Azarine,tapi,9,9
brand_label_auto,Azarine,jerawat,8,10
brand_label_auto,Azarine,emang,8,11
brand_label_auto,Azarine,ada,7,12
brand_label_auto,Azarine,kering,7,13
brand_label_auto,Azarine,skin,7,14
brand_label_auto,Azarine,muka,7,15
brand_label_auto,Azarine,enak,7,16
brand_label_auto,Azarine,nemu,7,17
brand_label_auto,Azarine,dipakai,6,18
brand_label_auto,Azarine,bagus,6,19
brand_label_auto,Azarine,bikin,6,20
brand_label_auto,Azarine,tiap,6,21
brand_label_auto,Azarine,bener,6,22
brand_label_auto,Azarine,kalo,5,23
brand_label_auto,Azarine,baru,5,24
brand_label_auto,Azarine,moist,5,25
brand_label_auto,Azarine,klo,5,26
brand_label_auto,Azarine,pke,5,27
brand_label_auto,Azarine,cream,5,28
brand_label_auto,Azarine,sumpah,5,29
brand_label_auto,Azarine,seneng,5,30
brand_label_auto,Azarine,semoga,5,31
brand_label_auto,Azarine,bruntusan,5,32
brand_label_auto,Azarine,lagi,5,33
brand_label_auto,Azarine,satu,5,34
brand_label_auto,Azarine,apa,4,35
brand_label_auto,Azarine,biru,4,36
brand_label_auto,Azarine,ngga,4,37
brand_label_auto,Azarine,pink,4,38
brand_label_auto,Azarine,centella,4,39
brand_label_auto,Azarine,sunscreen,4,40
brand_label_auto,Azarine,beneran,4,41
brand_label_auto,Azarine,ngefek,4,42
brand_label_auto,Azarine,masih,4,43
brand_label_auto,Azarine,breakout,4,44
brand_label_auto,Azarine,sekali,4,45
brand_label_auto,Azarine,hasilnya,4,46
brand_label_auto,Azarine,beli,4,47
brand_label_auto,Azarine,wangi,4,48
brand_label_auto,Azarine,teksturnya,4,49
brand_label_auto,Azarine,hari,4,50
brand_label_auto,Azarine,nyari,4,51
brand_label_auto,Azarine,salah,4,52
brand_label_auto,Azarine,worth,4,53
brand_label_auto,Azarine,complex,3,54
brand_label_auto,Azarine,soalnya,3,55
brand_label_auto,Azarine,smooth,3,56
brand_label_auto,Azarine,pemula,3,57
brand_label_auto,Azarine,trs,3,58
brand_label_auto,Azarine,aman,3,59
brand_label_auto,Azarine,the,3,60
brand_label_auto,Azarine,pemakaian,3,61
brand_label_auto,Azarine,cii,3,62
brand_label_auto,Azarine,pas,3,63
brand_label_auto,Azarine,tolong,3,64
brand_label_auto,Azarine,hadalabo,3,65
brand_label_auto,Azarine,pakek,3,66
brand_label_auto,Azarine,paginya,3,67
brand_label_auto,Azarine,udh,3,68
brand_label_auto,Azarine,akhirnya,3,69
brand_label_auto,Azarine,minta,3,70
brand_label_auto,Azarine,lama,3,71
brand_label_auto,Azarine,serum,3,72
brand_label_auto,Azarine,penting,3,73
brand_label_auto,Azarine,beda,3,74
brand_label_auto,Azarine,mana,3,75
brand_label_auto,Azarine,pkek,3,76
brand_label_auto,Azarine,rekomendasi,3,77
brand_label_auto,Azarine,kemarin,3,78
brand_label_auto,Azarine,ngerasain,3,79
brand_label_auto,Azarine,setuju,3,80
brand_label_auto,Azarine,makasih,3,81
brand_label_auto,Azarine,infonya,3,82
brand_label_auto,Azarine,pengen,3,83
brand_label_auto,Azarine,aha,2,84
brand_label_auto,Azarine,vit,2,85
brand_label_auto,Azarine,perlu,2,86
brand_label_auto,Azarine,umur,2,87
brand_label_auto,Azarine,abis,2,88
brand_label_auto,Azarine,moisturizer,2,89
brand_label_auto,Azarine,toner,2,90
brand_label_auto,Azarine,warna,2,91
brand_label_auto,Azarine,emg,2,92
brand_label_auto,Azarine,semua,2,93
brand_label_auto,Azarine,makin,2,94
brand_label_auto,Azarine,mois,2,95
brand_label_auto,Azarine,ungu,2,96
brand_label_auto,Azarine,dri,2,97
brand_label_auto,Azarine,ampul,2,98
brand_label_auto,Azarine,minimalist,2,99
brand_label_auto,Azarine,malah,2,100
brand_label_auto,Daviena,retinol,69,1
brand_label_auto,Daviena,sama,29,2
brand_label_auto,Daviena,kulit,25,3
brand_label_auto,Daviena,gak,21,4
brand_label_auto,Daviena,cocok,20,5
brand_label_auto,Daviena,bener,14,6
brand_label_auto,Daviena,mau,13,7
brand_label_auto,Daviena,tapi,13,8
brand_label_auto,Daviena,worth,13,9
brand_label_auto,Daviena,bikin,12,10
brand_label_auto,Daviena,baru,12,11
