candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,repeat,fold,reference_label_source,modeling_mode,notes
model_B,development_cv,social_normalized,,92,92,1.0,0.4901751745474309,0.4543561421973072,0.5108695652173914,0.5874488713831237,0.3627151971935974,0.6785714285714286,0.17073170731707318,0.17073170731707318,0.2857142857142857,2.555573979199604,0.7202184874906811,0.2938957455329222,0,0.4666666666666667,0.9130434782608695,0.6176470588235294,23,0.875,0.2857142857142857,41,0.48717948717948717,0.5671641791044776,28,2,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,92,92,1.0,0.5018185774225892,0.4799985886545467,0.5108695652173914,0.5735368378528506,0.346732887542956,0.6071428571428571,0.24390243902439024,0.24390243902439024,0.37735849056603776,1.8910416862408288,0.5853274980073645,0.13857792888943427,0,0.43478260869565216,0.8695652173913043,0.5797101449275363,23,0.8333333333333334,0.37735849056603776,41,0.5,0.5483870967741935,28,2,2,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,92,92,1.0,0.6604165436327487,0.6822005012080861,0.6847826086956522,0.6564914406908046,0.5094872529565286,0.6428571428571429,0.8048780487804879,0.5217391304347826,0.5853658536585366,1.129820218841116,0.4318374749179851,0.057781045113346786,0,0.6666666666666666,0.5217391304347826,0.5853658536585366,23,0.7674418604651163,0.7857142857142857,41,0.5806451612903226,0.6101694915254238,28,2,2,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,92,92,1.0,0.45889583724737654,0.47281310497492873,0.4673913043478261,0.4648790587284755,0.19832854897643004,0.42857142857142855,0.4878048780487805,0.42857142857142855,0.41509433962264153,1.898864280263951,0.6181034597422773,0.16287691838333088,0,0.36666666666666664,0.4782608695652174,0.41509433962264153,23,0.6060606060606061,0.5405405405405406,41,0.41379310344827586,0.42105263157894735,28,2,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,social_normalized,,92,92,1.0,0.4468808800115791,0.41024939115331605,0.45652173913043476,0.5135838004342776,0.27128262145920456,0.7857142857142857,0.14634146341463414,0.14634146341463414,0.24489795918367346,2.4483453524040053,0.7017397129543342,0.3200192563383595,0,0.5833333333333334,0.6086956521739131,0.5957446808510638,23,0.75,0.24489795918367346,41,0.36666666666666664,0.5,28,2,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,92,92,1.0,0.5049712052836302,0.49237687893215937,0.5108695652173914,0.5504595263343938,0.3171448077829757,0.75,0.2926829268292683,0.2926829268292683,0.42105263157894735,1.8407438412647779,0.5742457058738301,0.11759845436111283,0,0.45161290322580644,0.6086956521739131,0.5185185185185185,23,0.75,0.42105263157894735,41,0.4666666666666667,0.5753424657534246,28,2,3,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,92,92,1.0,0.620102990691226,0.6439697486372677,0.6521739130434783,0.6195904660909962,0.4562273275360043,0.4642857142857143,0.8292682926829268,0.4642857142857143,0.5098039215686274,1.1316127664748847,0.4061537033092484,0.08985483208919148,0,0.5909090909090909,0.5652173913043478,0.5777777777777777,23,0.723404255319149,0.7727272727272727,41,0.5652173913043478,0.5098039215686274,28,2,3,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
model_A,development_cv,social_normalized,,93,93,1.0,0.5381747657776713,0.565385268657939,0.5591397849462365,0.5371660859465738,0.3275621287792124,0.42857142857142855,0.6829268292682927,0.42857142857142855,0.4067796610169492,1.6319316859365705,0.5892898063383079,0.082579924862889,0,0.48,0.5,0.4897959183673469,24,0.7567567567567568,0.717948717948718,41,0.3870967741935484,0.4067796610169492,28,3,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_B,development_cv,social_normalized,,93,93,1.0,0.463459585732481,0.4388693271291093,0.4731182795698925,0.5293263646922184,0.2918942794441958,0.6428571428571429,0.1951219512195122,0.1951219512195122,0.32653061224489793,2.443878565653505,0.7602818351659819,0.3435710078754857,0,0.4864864864864865,0.75,0.5901639344262295,24,1.0,0.32653061224489793,41,0.375,0.47368421052631576,28,3,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,development_cv,social_normalized,,93,93,1.0,0.5053613053613053,0.5041582073840138,0.5053763440860215,0.5423925667828107,0.3209387061673706,0.5357142857142857,0.34146341463414637,0.34146341463414637,0.46153846153846156,1.6955255395182438,0.5800940866437381,0.14351130814232588,0,0.42857142857142855,0.75,0.5454545454545454,24,1.0,0.509090909090909,41,0.40540540540540543,0.46153846153846156,28,3,1,human_adjudicated_label,HUMAN_VALIDATED,Repeated CV over human_adjudicated_label.
model_C_pseudo_label_experiment,development_cv,social_normalized,,93,93,1.0,0.6596962562895259,0.6783351425725147,0.6774193548387096,0.6551974448315913,0.500904948802071,0.5357142857142857,0.8048780487804879,0.5357142857142857,0.5172413793103449,1.0980888171892451,0.40914581669786343,0.10813210501249121,0,0.7142857142857143,0.625,0.6666666666666666,24,0.7857142857142857,0.7951807228915663,41,0.5,0.5172413793103449,28,3,1,human_adjudicated_label,HUMAN_VALIDATED,Model C is trained inside each fold on human_adjudicated_label.
