actor_type_primary,weekday_name_id,weekday_number,hour_local,n_comments,n_unique_actors,n_unique_videos,comment_share_within_actor_type
Community Actor,Minggu,7,6,8,8,2,0.008421052631578947
Community Actor,Minggu,7,7,0,0,0,0.0
Community Actor,Minggu,7,8,13,9,5,0.01368421052631579
Community Actor,Minggu,7,9,6,6,4,0.00631578947368421
Community Actor,Minggu,7,10,8,8,4,0.008421052631578947
Community Actor,Minggu,7,11,2,2,2,0.002105263157894737
Community Actor,Minggu,7,12,2,2,2,0.002105263157894737
Community Actor,Minggu,7,13,9,5,1,0.009473684210526316
Community Actor,Minggu,7,14,1,1,1,0.0010526315789473684
Community Actor,Minggu,7,15,5,5,1,0.005263157894736842
Community Actor,Minggu,7,16,0,0,0,0.0
Community Actor,Minggu,7,17,5,5,3,0.005263157894736842
Community Actor,Minggu,7,18,4,4,4,0.004210526315789474
Community Actor,Minggu,7,19,6,6,1,0.00631578947368421
Community Actor,Minggu,7,20,8,8,2,0.008421052631578947
Community Actor,Minggu,7,21,2,2,2,0.002105263157894737
Community Actor,Minggu,7,22,1,1,1,0.0010526315789473684
Community Actor,Minggu,7,23,1,1,1,0.0010526315789473684
Mass Actor,Senin,1,0,91,84,25,0.0028931137534176895
Mass Actor,Senin,1,1,68,63,18,0.0021618872003560754
Mass Actor,Senin,1,2,33,33,15,0.001049151141349272
Mass Actor,Senin,1,3,22,22,9,0.000699434094232848
Mass Actor,Senin,1,4,51,48,17,0.0016214154002670567
Mass Actor,Senin,1,5,81,78,24,0.002575189165130031
Mass Actor,Senin,1,6,133,126,30,0.004228397024225854
Mass Actor,Senin,1,7,229,200,28,0.007280473071787372
Mass Actor,Senin,1,8,195,184,34,0.0061995294716093345
Mass Actor,Senin,1,9,192,184,35,0.006104152095123037
Mass Actor,Senin,1,10,211,200,38,0.006708208812869587
Mass Actor,Senin,1,11,218,194,37,0.006930756024670948
Mass Actor,Senin,1,12,185,170,37,0.005881604883321676
Mass Actor,Senin,1,13,225,207,40,0.0071533032364723085
Mass Actor,Senin,1,14,187,179,38,0.0059451898009792075
Mass Actor,Senin,1,15,190,174,38,0.006040567177465505
Mass Actor,Senin,1,16,172,168,37,0.00546830291854772
Mass Actor,Senin,1,17,190,171,43,0.006040567177465505
Mass Actor,Senin,1,18,167,157,45,0.0053093406244038915
Mass Actor,Senin,1,19,166,157,39,0.005277548165575126
Mass Actor,Senin,1,20,204,193,49,0.006485661601068227
Mass Actor,Senin,1,21,177,163,45,0.0056272652126915495
Mass Actor,Senin,1,22,143,135,41,0.004546321612513512
Mass Actor,Senin,1,23,100,96,37,0.0031792458828765816
Mass Actor,Selasa,2,0,67,64,29,0.0021300947415273095
Mass Actor,Selasa,2,1,38,37,21,0.001208113435493101
Mass Actor,Selasa,2,2,22,21,13,0.000699434094232848
Mass Actor,Selasa,2,3,23,18,12,0.0007312265530616138
Mass Actor,Selasa,2,4,23,23,15,0.0007312265530616138
Mass Actor,Selasa,2,5,69,67,33,0.0021936796591848413
Mass Actor,Selasa,2,6,85,85,32,0.0027023590004450946
Mass Actor,Selasa,2,7,131,122,41,0.004164812106568322
Mass Actor,Selasa,2,8,106,103,42,0.0033700006358491764
Mass Actor,Selasa,2,9,148,134,42,0.0047052839066573406
Mass Actor,Selasa,2,10,637,612,42,0.020251796273923824
Mass Actor,Selasa,2,11,643,624,39,0.02044255102689642
Mass Actor,Selasa,2,12,523,509,36,0.016627455967444523
Mass Actor,Selasa,2,13,354,331,42,0.011254530425383099
Mass Actor,Selasa,2,14,317,288,46,0.010078209448718765
Mass Actor,Selasa,2,15,246,226,38,0.00782094487187639
Mass Actor,Selasa,2,16,335,323,44,0.010650473707636549
Mass Actor,Selasa,2,17,459,441,42,0.01459273860240351
Mass Actor,Selasa,2,18,474,436,45,0.015069625484834996
Mass Actor,Selasa,2,19,389,381,42,0.012367266484389903
Mass Actor,Selasa,2,20,410,388,45,0.013034908119793985
Mass Actor,Selasa,2,21,322,306,39,0.010237171742862592
Mass Actor,Selasa,2,22,255,245,39,0.008107077001335283
Mass Actor,Selasa,2,23,144,137,32,0.004578114071342278
Mass Actor,Rabu,3,0,138,134,27,0.004387359318369683
Mass Actor,Rabu,3,1,56,53,17,0.0017803776944108857
