hcc_id,daypart,n_comments,n_unique_community_actors,n_unique_videos,brand_label_auto,goal_orientation,n_valid_timestamp_comments,dominant_daypart,temporal_profile_reliability,comment_share_within_hcc
114,Siang,0,0,0,Maryame,Promotional / Supportive,28,Pagi,Descriptively sufficient,0.0
114,Sore,6,6,1,Maryame,Promotional / Supportive,28,Pagi,Descriptively sufficient,0.21428571428571427
114,Malam,11,6,1,Maryame,Promotional / Supportive,28,Pagi,Descriptively sufficient,0.39285714285714285
117,Dini Hari,0,0,0,The Originote,Neutral Engagement,18,Siang,Descriptively sufficient,0.0
117,Pagi,0,0,0,The Originote,Neutral Engagement,18,Siang,Descriptively sufficient,0.0
117,Siang,6,6,1,The Originote,Neutral Engagement,18,Siang,Descriptively sufficient,0.3333333333333333
117,Sore,6,6,1,The Originote,Neutral Engagement,18,Siang,Descriptively sufficient,0.3333333333333333
117,Malam,6,6,1,The Originote,Neutral Engagement,18,Siang,Descriptively sufficient,0.3333333333333333
132,Dini Hari,0,0,0,Mixed_3plus_Brands,Mixed Goals,12,Pagi,Descriptively sufficient,0.0
132,Pagi,8,4,2,Mixed_3plus_Brands,Mixed Goals,12,Pagi,Descriptively sufficient,0.6666666666666666
132,Siang,0,0,0,Mixed_3plus_Brands,Mixed Goals,12,Pagi,Descriptively sufficient,0.0
132,Sore,0,0,0,Mixed_3plus_Brands,Mixed Goals,12,Pagi,Descriptively sufficient,0.0
132,Malam,4,4,1,Mixed_3plus_Brands,Mixed Goals,12,Pagi,Descriptively sufficient,0.3333333333333333
134,Dini Hari,2,2,1,Daviena,Mixed Goals,15,Siang,Descriptively sufficient,0.13333333333333333
134,Pagi,0,0,0,Daviena,Mixed Goals,15,Siang,Descriptively sufficient,0.0
134,Siang,5,2,3,Daviena,Mixed Goals,15,Siang,Descriptively sufficient,0.3333333333333333
134,Sore,4,3,3,Daviena,Mixed Goals,15,Siang,Descriptively sufficient,0.26666666666666666
134,Malam,4,2,2,Daviena,Mixed Goals,15,Siang,Descriptively sufficient,0.26666666666666666
150,Dini Hari,1,1,1,Maryame,Mixed Goals,48,Pagi,Descriptively sufficient,0.020833333333333332
150,Pagi,17,6,6,Maryame,Mixed Goals,48,Pagi,Descriptively sufficient,0.3541666666666667
150,Siang,9,5,5,Maryame,Mixed Goals,48,Pagi,Descriptively sufficient,0.1875
150,Sore,5,4,4,Maryame,Mixed Goals,48,Pagi,Descriptively sufficient,0.10416666666666667
150,Malam,16,6,5,Maryame,Mixed Goals,48,Pagi,Descriptively sufficient,0.3333333333333333
168,Dini Hari,0,0,0,Daviena,Promotional / Supportive,9,Pagi,Insufficient observations,0.0
168,Pagi,9,5,1,Daviena,Promotional / Supportive,9,Pagi,Insufficient observations,1.0
168,Siang,0,0,0,Daviena,Promotional / Supportive,9,Pagi,Insufficient observations,0.0
168,Sore,0,0,0,Daviena,Promotional / Supportive,9,Pagi,Insufficient observations,0.0
168,Malam,0,0,0,Daviena,Promotional / Supportive,9,Pagi,Insufficient observations,0.0
180,Dini Hari,0,0,0,Azarine,Promotional / Supportive,14,Sore,Limited recurrence,0.0
180,Pagi,0,0,0,Azarine,Promotional / Supportive,14,Sore,Limited recurrence,0.0
180,Siang,0,0,0,Azarine,Promotional / Supportive,14,Sore,Limited recurrence,0.0
180,Sore,7,4,1,Azarine,Promotional / Supportive,14,Sore,Limited recurrence,0.5
180,Malam,7,4,1,Azarine,Promotional / Supportive,14,Sore,Limited recurrence,0.5
181,Dini Hari,0,0,0,Daviena,Promotional / Supportive,9,Siang,Insufficient observations,0.0
181,Pagi,0,0,0,Daviena,Promotional / Supportive,9,Siang,Insufficient observations,0.0
181,Siang,9,5,1,Daviena,Promotional / Supportive,9,Siang,Insufficient observations,1.0
181,Sore,0,0,0,Daviena,Promotional / Supportive,9,Siang,Insufficient observations,0.0
181,Malam,0,0,0,Daviena,Promotional / Supportive,9,Siang,Insufficient observations,0.0
182,Dini Hari,6,6,1,Not identified,Mixed Goals,18,Pagi,Descriptively sufficient,0.3333333333333333
182,Pagi,12,6,2,Not identified,Mixed Goals,18,Pagi,Descriptively sufficient,0.6666666666666666
182,Siang,0,0,0,Not identified,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
182,Sore,0,0,0,Not identified,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
182,Malam,0,0,0,Not identified,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
183,Dini Hari,1,1,1,The Originote,Mixed Goals,21,Malam,Descriptively sufficient,0.047619047619047616
183,Pagi,7,7,1,The Originote,Mixed Goals,21,Malam,Descriptively sufficient,0.3333333333333333
183,Siang,0,0,0,The Originote,Mixed Goals,21,Malam,Descriptively sufficient,0.0
183,Sore,5,5,1,The Originote,Mixed Goals,21,Malam,Descriptively sufficient,0.23809523809523808
183,Malam,8,7,2,The Originote,Mixed Goals,21,Malam,Descriptively sufficient,0.38095238095238093
191,Dini Hari,6,4,1,The Originote,Promotional / Supportive,23,Sore,Descriptively sufficient,0.2608695652173913
191,Pagi,8,5,2,The Originote,Promotional / Supportive,23,Sore,Descriptively sufficient,0.34782608695652173
191,Siang,0,0,0,The Originote,Promotional / Supportive,23,Sore,Descriptively sufficient,0.0
191,Sore,9,5,1,The Originote,Promotional / Supportive,23,Sore,Descriptively sufficient,0.391304347826087
191,Malam,0,0,0,The Originote,Promotional / Supportive,23,Sore,Descriptively sufficient,0.0
204,Dini Hari,0,0,0,Azarine,Promotional / Supportive,11,Sore,Limited recurrence,0.0
204,Pagi,4,4,1,Azarine,Promotional / Supportive,11,Sore,Limited recurrence,0.36363636363636365
204,Siang,0,0,0,Azarine,Promotional / Supportive,11,Sore,Limited recurrence,0.0
204,Sore,7,4,1,Azarine,Promotional / Supportive,11,Sore,Limited recurrence,0.6363636363636364
204,Malam,0,0,0,Azarine,Promotional / Supportive,11,Sore,Limited recurrence,0.0
205,Dini Hari,14,5,2,The Originote,Promotional / Supportive,23,Dini Hari,Descriptively sufficient,0.6086956521739131
205,Pagi,9,5,1,The Originote,Promotional / Supportive,23,Dini Hari,Descriptively sufficient,0.391304347826087
205,Siang,0,0,0,The Originote,Promotional / Supportive,23,Dini Hari,Descriptively sufficient,0.0
205,Sore,0,0,0,The Originote,Promotional / Supportive,23,Dini Hari,Descriptively sufficient,0.0
205,Malam,0,0,0,The Originote,Promotional / Supportive,23,Dini Hari,Descriptively sufficient,0.0
206,Dini Hari,0,0,0,Maryame,Promotional / Supportive,9,Siang,Insufficient observations,0.0
206,Pagi,0,0,0,Maryame,Promotional / Supportive,9,Siang,Insufficient observations,0.0
206,Siang,9,5,1,Maryame,Promotional / Supportive,9,Siang,Insufficient observations,1.0
206,Sore,0,0,0,Maryame,Promotional / Supportive,9,Siang,Insufficient observations,0.0
206,Malam,0,0,0,Maryame,Promotional / Supportive,9,Siang,Insufficient observations,0.0
