username,actor_id_anonymous,display_name,actor_type_primary,individual_subtype,is_video_creator,is_verified_registry_actor,individual_identification_source,individual_verification_level,is_hcc_member,individual_in_hcc,community,is_lcn_member,mass_position_secondary,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,target_brand_primary,target_brand_label,target_scope,target_source,target_confidence,creator_target_brand_primary,creator_target_brand_label,creator_target_scope,creator_product_category_primary,creator_video_count,creator_target_confidence,creator_target_source,account_goal_orientation,account_goal_confidence,is_goal_evaluable,goal_evaluation_reason,exposure_level,hcc_association_status,primary_associated_hcc,associated_hcc_ids,n_associated_hcc,primary_association_basis,is_ambiguous_hcc_association,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_hcc_comment_pair_count,strong_association_score,contextual_association_score,sentiment_alignment,hcc_dominant_sentiment
MASS_5140bae16516,MASS_5140bae16516,.fitri_25,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.8359676338546789,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_d1bbdab223b6,MASS_d1bbdab223b6,.ggg290,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6039471011324469,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,113;2;20;47;62,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_6276f24f3e5a,MASS_6276f24f3e5a,.hahahihi1_,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.8074949545708725,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_514d3e2b695b,MASS_514d3e2b695b,.hana1771,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Negative,0.7079297913426024,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_1ed198b5f919,MASS_1ed198b5f919,.icaaahh,Mass Actor,,False,False,,,False,False,,False,Outside LCN,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,Negative,0.5304381621865154,Daviena,Daviena,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Single Shared-Video Context,20,20,1.0,Single shared-video context only,False,1.0,0.0,0.0,0.0,0.0,1.0,Context Only,Neutral
MASS_5802903567f7,MASS_5802903567f7,.ind27,Mass Actor,,False,False,,,False,False,,False,Outside LCN,2.0,2.0,1.0,1.0,0.0,0.5,0.5,0.0,Neutral,0.6691420810026645,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,150;169;47;53;58;62,6.0,Multiple shared-video contexts only,True,6.0,0.0,0.0,0.0,0.0,6.0,Ambiguous HCC Association,
MASS_2e93fc44abcd,MASS_2e93fc44abcd,.j.r18,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6014253839924114,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_94eafddcb3aa,MASS_94eafddcb3aa,.jesuslovesyou72,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.5326589682615357,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,1;50;58,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_0148cb8ab589,MASS_0148cb8ab589,.kholifahfurniture,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.4546295931244238,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,184;20,2.0,Multiple shared-video contexts only,True,2.0,0.0,0.0,0.0,0.0,2.0,Ambiguous HCC Association,
MASS_05102d14bf20,MASS_05102d14bf20,.kita89,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.8247879457184922,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,130;17;205;50,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_abb04e2020ba,MASS_abb04e2020ba,.lala_85,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6531692101696767,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,204;43;46;52,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_c360acaa5711,MASS_c360acaa5711,.libra137,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6198675685225528,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,184;20,2.0,Multiple shared-video contexts only,True,2.0,0.0,0.0,0.0,0.0,2.0,Ambiguous HCC Association,
MASS_3f16b88e5df0,MASS_3f16b88e5df0,.lucky_b,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Negative,0.587839966090102,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
