individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
maryame.official,Video Creator,20,2,5,3,6,2024-10-11 08:54:58+00:00,2024-12-18 10:04:19+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,206,2,5,5,18,2024-10-30 05:33:39+00:00,2024-10-30 05:36:22+00:00,Maryame,Promotional / Supportive,Observed Creator-Community Context
maryame.official,Video Creator,34,1,5,2,2,2024-12-22 10:06:57+00:00,2024-12-22 11:36:43+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,45,1,5,4,4,2024-10-27 22:34:31+00:00,2024-10-27 22:36:28+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
maryame.official,Video Creator,50,1,5,6,6,2024-10-11 01:13:31+00:00,2024-10-11 01:16:04+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,52,1,5,5,5,2025-08-23 01:06:06+00:00,2025-08-23 01:08:32+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,63,1,5,2,2,2024-10-17 14:12:54+00:00,2024-10-17 14:50:44+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
maryame.official,Video Creator,74,2,5,3,6,2024-12-22 02:25:10+00:00,2025-08-27 04:39:09+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,1,1,3,3,3,2024-12-16 07:36:12+00:00,2024-12-16 07:37:13+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,113,1,3,6,11,2024-04-30 13:11:38+00:00,2024-04-30 13:15:20+00:00,Maryame,Promotional / Supportive,Observed Creator-Community Context
mayhapid2,Video Creator,117,1,3,6,6,2024-08-15 08:52:58+00:00,2024-08-15 08:55:24+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
mayhapid2,Video Creator,132,1,3,4,4,2024-05-01 15:05:00+00:00,2024-05-01 15:07:41+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,150,1,3,6,6,2024-08-17 10:17:32+00:00,2025-11-07 05:03:18+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,17,1,3,7,7,2024-06-30 13:44:15+00:00,2024-06-30 13:47:09+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,63,1,3,2,2,2024-04-24 07:48:52+00:00,2024-04-24 09:34:36+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,75,1,3,4,4,2024-06-26 10:17:39+00:00,2024-06-26 10:18:50+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,87,1,3,5,5,2024-07-26 14:13:51+00:00,2024-07-26 15:17:13+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mayhapid2,Video Creator,90,1,3,4,4,2024-07-31 15:56:41+00:00,2024-07-31 15:59:15+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
melvinahusyanti96,Video Creator,54,1,1,2,2,2026-01-17 08:50:55+00:00,2026-01-17 10:15:49+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
melvinahusyanti96,Video Creator,87,1,1,5,5,2026-01-17 08:33:00+00:00,2026-01-17 11:21:51+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
mimiaudmua,Video Creator,1,1,1,3,3,2024-09-26 09:38:03+00:00,2024-09-26 09:39:43+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mimiaudmua,Video Creator,113,1,1,6,6,2024-10-28 00:13:37+00:00,2024-10-28 00:17:40+00:00,Maryame,Promotional / Supportive,Observed Creator-Community Context
