username_norm,username,mass_network_position,shared_hcc_video_count,n_hcc_accounts_shared_video,direct_reply_with_hcc_count,mass_replies_to_hcc_count,hcc_replies_to_mass_count,temporal_after_hcc_count,associated_hcc_count,mass_exposure_score,min_minutes_after_hcc,median_minutes_after_hcc,associated_hcc_ids,primary_associated_hcc,association_basis,mass_exposure_level,associated_hcc_brand_context
rrymaharaja82,rrymaharaja82,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rryynnnmelll,rryynnnmelll,Outside LCN,1,9,0,0,0,0,3,1,,,17;34;206,17,Shared video context,Shared-Video Exposure,Maryame
rrzxjly,rrzxjly,Outside LCN,1,12,0,0,0,0,2,1,,,183;191,183,Shared video context,Shared-Video Exposure,The Originote
rs7canrs5,rs7canrs5,Outside LCN,1,25,0,0,0,0,4,1,,,5;46;48;191,5,Shared video context,Shared-Video Exposure,The Originote
rsatulusni05,rsatulusni05,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rsavaa05,rsavaa05,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rsdhalailaa,rsdhalailaa,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rsdill03,rsdill03,Outside LCN,1,18,0,0,0,1,5,3,0.7833333333333333,0.7833333333333333,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
rshaagth,rshaagth,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
rsk.bunga,rsk.bunga,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rskaaaaa.2,rskaaaaa.2,Outside LCN,1,7,0,0,0,0,2,1,,,54;87,54,Shared video context,Shared-Video Exposure,Azarine
rskaaaaa20,rskaaaaa20,Outside LCN,1,17,0,0,0,0,3,1,,,16;99;150,16,Shared video context,Shared-Video Exposure,Daviena
rskanyyy,rskanyyy,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rskariangsh,rskariangsh,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rsmtzhrllh,rsmtzhrllh,Outside LCN,1,7,0,0,0,0,2,1,,,54;87,54,Shared video context,Shared-Video Exposure,Azarine
rsnawtiajh,rsnawtiajh,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rssm_24,rssm_24,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rstfbrnt4,rstfbrnt4,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rsthy31_,rsthy31_,Outside LCN,1,23,0,0,0,0,6,1,,,60;74;90;103;134;168,60,Shared video context,Shared-Video Exposure,Daviena
rstore083,rstore083,Outside LCN,1,17,0,0,0,0,3,1,,,16;99;150,16,Shared video context,Shared-Video Exposure,Daviena
rsyahputri10,rsyahputri10,Outside LCN,1,24,0,0,0,0,6,1,,,14;15;17;18;49;191,14,Shared video context,Shared-Video Exposure,Daviena
rsyxxnti,rsyxxnti,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rthekiddos,rthekiddos,Outside LCN,1,7,0,0,0,0,2,1,,,54;87,54,Shared video context,Shared-Video Exposure,Azarine
rthslhh,rthslhh,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rtnaye0,rtnaye0,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rtnsr._,rtnsr._,Outside LCN,1,15,0,0,0,0,4,1,,,50;54;63;103,50,Shared video context,Shared-Video Exposure,Maryame
rtsputri_,rtsputri_,Outside LCN,1,23,0,0,0,0,5,1,,,2;20;49;63;114,2,Shared video context,Shared-Video Exposure,Maryame
