input_mode,max_length,learning_rate,classifier_dropout,loss,label_smoothing,warmup_ratio,weight_decay,model_id,trial_id,stage,seed,fold,best_epoch,max_epochs,early_stopping_patience,class_weights_source,class_weights_negative,class_weights_neutral,class_weights_positive,model_revision,training_seconds,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,min_class_recall,positive_recall,selection_score_raw,selection_score,class_collapse,auto_disqualified,negative_prediction_share,negative_prediction_drift,predicted_negative,predicted_neutral,predicted_positive,ece,brier_score,mean_confidence,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_f1,positive_support
context_sep_comment,128,2e-05,0.3,weighted_cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p3__weighted_cross_entropy__ls0p025,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,11.009268760681152,977,0.72978505629478,0.6759192864426881,0.7386766686829371,0.6939924372443821,0.5555966117280344,0.5842696629213483,0.717391304347826,0.6506360293102705,0.6506360293102705,False,False,0.2036847492323439,0.021494370522006145,199,491,287,0.05185745322472486,0.12674372138322343,0.7816425095195048,0.5226130653266332,0.5842696629213483,0.5517241379310345,178,0.9042769857433809,0.7803163444639719,0.8377358490566038,569,0.5749128919860628,0.6382978723404256,230
comment_only,128,1e-05,0.1,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p1__cross_entropy__ls0p0,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.371092796325684,977,0.7645854657113613,0.698049598257601,0.7620410079948522,0.6933043598459059,0.583544322480957,0.5056179775280899,0.7043478260869566,0.6496062798575978,0.6496062798575978,False,True,0.1699078812691914,0.012282497441146373,166,588,223,0.07277011331418648,0.11517747138388945,0.8373555790255477,0.5421686746987951,0.5056179775280899,0.5232558139534884,178,0.8418367346938775,0.8699472759226714,0.8556611927398444,569,0.726457399103139,0.7152317880794702,230
comment_only,128,2e-05,0.2,focal_loss_gamma_1.5,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__focal_loss_gamma_1.5__ls0p0,stage1,42,ALL_OOF,6,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,17.795210123062134,977,0.7574206755373593,0.6884712060345919,0.755136448235263,0.6909972414515476,0.5768364218412988,0.4606741573033708,0.7652173913043478,0.647439300235243,0.647439300235243,False,True,0.1606960081883316,0.021494370522006145,157,565,255,0.07346443479600441,0.11607750479371783,0.8308851103333637,0.5222929936305732,0.4606741573033708,0.48955223880597015,178,0.8530973451327434,0.8471001757469244,0.8500881834215167,569,0.6901960784313725,0.7257731958762886,230
comment_only,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage1,42,ALL_OOF,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.317119598388672,977,0.7523029682702149,0.6898283894953584,0.75312803570279,0.6905416903127986,0.5682484500309986,0.5393258426966292,0.6869565217391305,0.6457726285214738,0.6457726285214738,False,True,0.1893551688843398,0.007164790174002039,185,566,226,0.09457741767747618,0.1227154244342357,0.8468803859476911,0.518918918918919,0.5393258426966292,0.5289256198347108,178,0.8498233215547704,0.8453427065026362,0.8475770925110132,569,0.6991150442477876,0.6929824561403509,230
context_sep_comment,128,1e-05,0.2,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,18.679492235183716,977,0.7205731832139202,0.6692149425928373,0.7309916835238877,0.689923442338782,0.5426304906264519,0.6460674157303371,0.6521739130434783,0.6445793807180245,0.6445793807180245,False,False,0.2374616171954964,0.055271238485158636,232,488,257,0.09496249025163288,0.14207297137937983,0.6901076608694929,0.4956896551724138,0.6460674157303371,0.5609756097560976,178,0.8995901639344263,0.7715289982425307,0.8306527909176916,569,0.5836575875486382,0.6160164271047228,230
comment_only,128,3e-05,0.2,focal_loss_gamma_1.5,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p2__focal_loss_gamma_1.5__ls0p025,stage1,42,ALL_OOF,3,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,15.55839204788208,977,0.7451381780962129,0.6829575622817435,0.7477596139142931,0.6838005179397229,0.5576227185076263,0.5730337078651685,0.6347826086956522,0.6374533942488394,0.6374533942488394,False,False,0.2139201637666325,0.031729785056294785,209,566,202,0.040207358044758064,0.11788968405398853,0.7464318602148562,0.4880382775119617,0.5730337078651685,0.5271317829457365,178,0.8480565371024735,0.843585237258348,0.8458149779735683,569,0.7227722772277227,0.6759259259259259,230
comment_only,128,3e-05,0.3,focal_loss_gamma_2.0,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__focal_loss_gamma_2.0__ls0p025,stage1,42,ALL_OOF,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,15.66684079170227,977,0.744114636642784,0.6750127983532489,0.7436072997123192,0.6803511160831187,0.5583955043586784,0.4662921348314606,0.7434782608695653,0.6351738148639646,0.6351738148639646,False,True,0.1596724667349027,0.022517911975435012,156,550,271,0.0167116444698986,0.11811539047441218,0.7440218946828813,0.532051282051282,0.46629213483146065,0.49700598802395207,178,0.86,0.8312829525483304,0.8453976764968723,569,0.6309963099630996,0.6826347305389222,230
comment_only,128,1e-05,0.3,focal_loss_gamma_1.0,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p3__focal_loss_gamma_1.0__ls0p025,stage1,42,ALL_OOF,7,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,19.645339965820312,977,0.7482088024564995,0.6684587409079089,0.7438715449601044,0.6672023213132282,0.5564398102484597,0.4325842696629213,0.7043478260869566,0.6197933660246215,0.6197933660246215,False,True,0.1484135107471852,0.03377686796315252,145,580,252,0.022480693297840085,0.11657266860895521,0.7320799032033649,0.5310344827586206,0.43258426966292135,0.47678018575851394,178,0.8482758620689655,0.8646748681898067,0.856396866840731,569,0.6428571428571429,0.6721991701244814,230
context_sep_comment,128,3e-05,0.1,weighted_cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,stage2,52,ALL_OOF,2,12,3,training_fold_only,1.8888888359069824,0.5754231214523315,1.3647469282150269,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.873305797576904,977,0.7676560900716479,0.7252996804116548,0.7736443229759298,0.74362164013864,0.6134625651950949,0.6573033707865169,0.7739130434782608,0.7058070278129597,0.7058070278129597,False,False,0.2190378710337768,0.03684749232343909,214,508,255,0.0846453751670912,0.12285302298081102,0.8437453935736887,0.5467289719626168,0.6573033707865169,0.5969387755102041,178,0.8956692913385826,0.7996485061511424,0.8449396471680595,569,0.6980392156862745,0.734020618556701,230
context_sep_comment,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage2,42,ALL_OOF,6,12,3,training_fold_only,1.8356807231903076,0.5605734586715698,1.4895237684249878,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,31.418331384658813,977,0.7830092118730808,0.7327013716441209,0.7860606863949695,0.7416575444826311,0.6293215934666644,0.6292134831460674,0.7521739130434782,0.7037297405229752,0.7037297405229752,False,False,0.195496417604913,0.013306038894575212,191,538,248,0.10825184393319527,0.11562920667500187,0.8867630274659414,0.5863874345549738,0.6292134831460674,0.6070460704607046,178,0.8921933085501859,0.843585237258348,0.8672086720867209,569,0.6975806451612904,0.7238493723849372,230
