Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000048,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,2,2,0.0,0.0
E000049,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,2,0.0,0.0
E000050,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,Directed,2.70805020110221,14.0,2.70805020110221,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,14,14.0,14,14.0,0,15,15,0.0,0.0
E000051,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,2,0.0,0.0
E000052,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,Directed,4.115983126764006,60.31246256495483,4.115983126764006,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,307,60.31246256495483,317,317.0,0,8,22,0.0,0.0
E000053,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,Directed,6.631088649103819,757.3072519585677,6.631088649103819,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,2589,757.3072519585677,2591,2591.0,0,21,60,0.0,0.0
E000054,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,Directed,7.109214139434984,1222.185914713082,7.109214139434984,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,5856,1222.185914713082,5867,5867.0,0,247,706,0.0,0.0
E000055,Ambiguous: HCC_14 -> MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,HCC_14,MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,Directed,6.412617005059464,608.4866253629411,6.412617005059464,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,2502,608.4866253629411,2509,2509.0,0,78,216,0.0,0.0
E000056,Observed: HCC_14 -> MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,3,7,0.0,0.0
E000057,Observed: HCC_14 -> MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,HCC_14,MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,Directed,3.091042453358316,21.0,3.091042453358316,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,21,21.0,21,21.0,0,23,63,0.0,0.0
