id,label,node_type,actor_type_primary,n_accounts,n_comments,goal_orientation,target_brand,hcc_id,edge_type,dominant_sentiment
MASS_HCC_117_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 117 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,The Originote,117,Verified Community-Mass Direct Interaction,Mixed
MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 132 Mixed,Mass Actor Segment,Mass Actor,67,187.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Mixed
MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 132 Negative,Mass Actor Segment,Mass Actor,82,114.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Negative
MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 132 Neutral,Mass Actor Segment,Mass Actor,364,620.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Neutral
MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 132 Positive,Mass Actor Segment,Mass Actor,104,148.0,Insufficient Text,,132,Ambiguous Community-Mass Association,Positive
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 132 Negative,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Negative
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 132 Neutral,Mass Actor Segment,Mass Actor,3,13.0,Neutral Engagement,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 132 Positive,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,Mixed_3plus_Brands,132,Observed Community-Mass Temporal Association,Positive
MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 134 Mixed,Mass Actor Segment,Mass Actor,202,494.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Mixed
MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 134 Negative,Mass Actor Segment,Mass Actor,743,865.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Negative
MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 134 Neutral,Mass Actor Segment,Mass Actor,5696,6308.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Neutral
MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 134 Positive,Mass Actor Segment,Mass Actor,1732,1891.0,Insufficient Text,,134,Ambiguous Community-Mass Association,Positive
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 134 Mixed,Mass Actor Segment,Mass Actor,1,3.0,Mixed Goals,Daviena,134,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 134 Negative,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Negative
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 134 Neutral,Mass Actor Segment,Mass Actor,14,16.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 134 Positive,Mass Actor Segment,Mass Actor,2,2.0,Insufficient Text,Daviena,134,Observed Community-Mass Temporal Association,Positive
MASS_HCC_14_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 14 Mixed,Mass Actor Segment,Mass Actor,308,707.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Mixed
MASS_HCC_14_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 14 Negative,Mass Actor Segment,Mass Actor,2589,2861.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Negative
MASS_HCC_14_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 14 Neutral,Mass Actor Segment,Mass Actor,5855,6379.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Neutral
MASS_HCC_14_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 14 Positive,Mass Actor Segment,Mass Actor,2502,2703.0,Insufficient Text,,14,Ambiguous Community-Mass Association,Positive
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 14 Mixed,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 14 Negative,Mass Actor Segment,Mass Actor,21,23.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Negative
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 14 Neutral,Mass Actor Segment,Mass Actor,57,59.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_14_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 14 Positive,Mass Actor Segment,Mass Actor,18,21.0,Insufficient Text,Mixed_3plus_Brands,14,Observed Community-Mass Temporal Association,Positive
MASS_HCC_150_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 150 Mixed,Mass Actor Segment,Mass Actor,274,727.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Mixed
MASS_HCC_150_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 150 Negative,Mass Actor Segment,Mass Actor,1125,1324.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Negative
MASS_HCC_150_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 150 Neutral,Mass Actor Segment,Mass Actor,6480,7296.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Neutral
MASS_HCC_150_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 150 Positive,Mass Actor Segment,Mass Actor,2257,2484.0,Insufficient Text,,150,Ambiguous Community-Mass Association,Positive
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 150 Mixed,Mass Actor Segment,Mass Actor,12,28.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 150 Negative,Mass Actor Segment,Mass Actor,48,55.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Negative
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 150 Neutral,Mass Actor Segment,Mass Actor,524,567.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 150 Positive,Mass Actor Segment,Mass Actor,137,161.0,Insufficient Text,Maryame,150,Observed Community-Mass Temporal Association,Positive
MASS_HCC_150_Verified_Community_Mass_Direct_Interaction_Mixed,Mass Verified Community-Mass Direct Interaction 150 Mixed,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,Maryame,150,Verified Community-Mass Direct Interaction,Mixed
MASS_HCC_150_Verified_Community_Mass_Direct_Interaction_Positive,Mass Verified Community-Mass Direct Interaction 150 Positive,Mass Actor Segment,Mass Actor,2,4.0,Insufficient Text,Maryame,150,Verified Community-Mass Direct Interaction,Positive
MASS_HCC_15_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 15 Mixed,Mass Actor Segment,Mass Actor,83,227.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Mixed
MASS_HCC_15_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 15 Negative,Mass Actor Segment,Mass Actor,212,277.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Negative
MASS_HCC_15_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 15 Neutral,Mass Actor Segment,Mass Actor,519,756.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Neutral
