source,target,edge_type,is_ambiguous_association,weight,raw_account_count,fractional_account_weight,shared_video_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
HCC_150,MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,48.0,48,48.0,0.0,0,50,68,0.0,0.0
HCC_150,MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,524.0,524,524.0,0.0,0,541,788,0.0,0.0
HCC_150,MASS_HCC_150_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,137.0,137,137.0,0.0,0,140,212,0.0,0.0
HCC_150,MASS_HCC_150_Verified_Community_Mass_Direct_Interaction_Mixed,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_150,MASS_HCC_150_Verified_Community_Mass_Direct_Interaction_Positive,Verified Community-Mass Direct Interaction,False,2.0,2,2.0,0.0,4,0,0,0.0,0.0
HCC_16,MASS_HCC_16_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,14.442411782404042,101,14.442411782404042,0.0,0,0,0,0.0,0.0
HCC_16,MASS_HCC_16_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,69.04805374364197,315,69.04805374364197,0.0,0,0,0,0.0,0.0
HCC_16,MASS_HCC_16_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,204.8825207214526,941,204.8825207214526,0.0,0,0,0,0.0,0.0
HCC_16,MASS_HCC_16_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,108.0376861270824,441,108.0376861270824,0.0,0,0,0,0.0,0.0
HCC_16,MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,4,19,0.0,0.0
HCC_16,MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,10.0,10,10.0,0.0,0,12,53,0.0,0.0
HCC_16,MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,5.0,5,5.0,0.0,0,5,22,0.0,0.0
HCC_16,MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,3.0,3,3.0,0.0,0,3,15,0.0,0.0
HCC_168,MASS_HCC_168_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,6.195468039872065,56,6.195468039872065,0.0,0,0,0,0.0,0.0
HCC_168,MASS_HCC_168_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,4.520887342791368,29,4.520887342791368,0.0,0,0,0,0.0,0.0
HCC_168,MASS_HCC_168_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,34.70179464927917,215,34.70179464927917,0.0,0,0,0,0.0,0.0
HCC_168,MASS_HCC_168_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,6.539945593622065,43,6.539945593622065,0.0,0,0,0,0.0,0.0
HCC_17,MASS_HCC_17_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,29.01548754845161,202,29.01548754845161,0.0,0,0,0,0.0,0.0
HCC_17,MASS_HCC_17_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,99.35350652099878,422,99.35350652099878,0.0,0,0,0,0.0,0.0
HCC_17,MASS_HCC_17_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,330.17532138484154,1489,330.17532138484154,0.0,0,0,0,0.0,0.0
HCC_17,MASS_HCC_17_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,132.7195565657253,522,132.7195565657253,0.0,0,0,0,0.0,0.0
HCC_17,MASS_HCC_17_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,1,0.0,0.0
HCC_17,MASS_HCC_17_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,1,0.0,0.0
HCC_17,MASS_HCC_17_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,5,0.0,0.0
HCC_17,MASS_HCC_17_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,4.0,4,4.0,0.0,0,4,14,0.0,0.0
HCC_17,MASS_HCC_17_Verified_Community_Mass_Direct_Interaction_Mixed,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_18,MASS_HCC_18_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,14.578779669986764,90,14.578779669986764,0.0,0,0,0,0.0,0.0
HCC_18,MASS_HCC_18_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,50.92710145032127,216,50.92710145032127,0.0,0,0,0,0.0,0.0
HCC_18,MASS_HCC_18_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,164.736702345642,788,164.736702345642,0.0,0,0,0,0.0,0.0
HCC_18,MASS_HCC_18_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,157.60402365092767,431,157.60402365092767,0.0,0,0,0,0.0,0.0
HCC_18,MASS_HCC_18_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,2,0.0,0.0
HCC_18,MASS_HCC_18_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,3,0.0,0.0
HCC_18,MASS_HCC_18_Verified_Community_Mass_Direct_Interaction_Mixed,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_180,MASS_HCC_180_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,11.260869408369407,76,11.260869408369407,0.0,0,0,0,0.0,0.0
HCC_180,MASS_HCC_180_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,25.96958674280656,141,25.96958674280656,0.0,0,0,0,0.0,0.0
HCC_180,MASS_HCC_180_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,115.74959735826609,612,115.74959735826609,0.0,0,0,0,0.0,0.0
HCC_180,MASS_HCC_180_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,31.897695665187925,174,31.897695665187925,0.0,0,1,7,0.0,0.0
HCC_180,MASS_HCC_180_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,7,0.0,0.0
HCC_180,MASS_HCC_180_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,3.0,3,3.0,0.0,0,3,21,0.0,0.0
HCC_180,MASS_HCC_180_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,2,8,0.0,0.0
HCC_181,MASS_HCC_181_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,10.706779054279052,83,10.706779054279052,0.0,0,0,0,0.0,0.0
HCC_181,MASS_HCC_181_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,33.513962834551066,209,33.513962834551066,0.0,0,0,0,0.0,0.0
HCC_181,MASS_HCC_181_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,99.80845938976744,609,99.80845938976744,0.0,0,0,0,0.0,0.0
HCC_181,MASS_HCC_181_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,36.52731326980553,227,36.52731326980553,0.0,0,0,0,0.0,0.0
HCC_182,MASS_HCC_182_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,7.285150096945426,48,7.285150096945426,0.0,0,0,0,0.0,0.0
HCC_182,MASS_HCC_182_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,14.33553756185335,51,14.33553756185335,0.0,0,0,0,0.0,0.0
HCC_182,MASS_HCC_182_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,36.29770809256103,138,36.29770809256103,0.0,0,0,0,0.0,0.0
HCC_182,MASS_HCC_182_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,19.74940604631007,75,19.74940604631007,0.0,0,0,0,0.0,0.0
HCC_182,MASS_HCC_182_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,1,0.0,0.0
HCC_182,MASS_HCC_182_Verified_Community_Mass_Direct_Interaction_Mixed,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_183,MASS_HCC_183_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,11.991336965632296,77,11.991336965632296,0.0,0,0,0,0.0,0.0
HCC_183,MASS_HCC_183_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,58.55341027221832,245,58.55341027221832,0.0,0,0,0,0.0,0.0
HCC_183,MASS_HCC_183_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,135.47582643534656,551,135.47582643534656,0.0,0,0,0,0.0,0.0
HCC_183,MASS_HCC_183_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,129.0933758621839,391,129.0933758621839,0.0,0,0,0,0.0,0.0
HCC_183,MASS_HCC_183_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,2,12,0.0,0.0
HCC_183,MASS_HCC_183_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,4.0,4,4.0,0.0,0,4,9,0.0,0.0
HCC_183,MASS_HCC_183_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,6,0.0,0.0
HCC_183,MASS_HCC_183_Verified_Community_Mass_Direct_Interaction_Mixed,Verified Community-Mass Direct Interaction,False,3.0,3,3.0,0.0,6,0,0,0.0,0.0
HCC_183,MASS_HCC_183_Verified_Community_Mass_Direct_Interaction_Positive,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_191,MASS_HCC_191_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,9.5795980765021,62,9.5795980765021,0.0,0,0,0,0.0,0.0
HCC_191,MASS_HCC_191_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,24.67048872180451,97,24.67048872180451,0.0,0,0,0,0.0,0.0
HCC_191,MASS_HCC_191_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,108.00175755187364,459,108.00175755187364,0.0,0,0,0,0.0,0.0
HCC_191,MASS_HCC_191_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,33.817710372702635,128,33.817710372702635,0.0,0,0,0,0.0,0.0
HCC_191,MASS_HCC_191_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,9,0.0,0.0
HCC_2,MASS_HCC_2_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,7.524850075329615,53,7.524850075329615,0.0,0,0,0,0.0,0.0
HCC_2,MASS_HCC_2_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,28.16955266955267,133,28.16955266955267,0.0,0,0,0,0.0,0.0
HCC_2,MASS_HCC_2_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,61.03630556320185,303,61.03630556320185,0.0,0,0,0,0.0,0.0
