username_norm,username,is_hcc_member,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no text_count,negative_ratio,neutral_ratio,positive_ratio,dominant_sentiment
1212_tiktok,1212_tiktok,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
1227_89,1227_89,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
12345678_m222,12345678_m222,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
12345yulie,12345yulie,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
12346salwa,12346salwa,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1234adzka,1234adzka,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1234seriritonga,1234seriritonga,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
123_akusayangkamu80,123_akusayangkamu80,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
123cibaliung,123cibaliung,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
123hasna3,123hasna3,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
123indahmustika80,123indahmustika80,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
129zahara,129zahara,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
12acunmu,12acunmu,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
12anis09,12anis09,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
12bismillah.bisa,12bismillah.bisa,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
12dsbj,12dsbj,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
12izk,12izk,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
12lvez,12lvez,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
12november50,12november50,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
13.12.24._,13.12.24._,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
140414hj,140414hj,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
14april819,14april819,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
14shin_,14shin_,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
151018zan,151018zan,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
15107libra7,15107libra7,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
15_a_y,15_a_y,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1670fc,1670fc,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
