hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
130,4,4,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low,,,,,,
133,3,3,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena + The Originote,Medium,Low,,,,,,
150,6,6,48,48,1.0,20,22,6,0,0,0.4166666666666667,0.4583333333333333,0.125,0.3897570449065575,0.4808712895884373,0.12937166550500523,42.28269577026367,Neutral,Mixed Goals,Assigned,Low,0.04166666666666663,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Maryame,Maryame + The Originote,Medium,Low,0.058569717504008446,0.2470072708605482,0.3257502185455351,0.5970916690505266,0.28849459734577015,0.5571891778463535
169,5,5,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena,High,Low,,,,,,
181,4,4,23,23,1.0,23,0,0,0,0,1.0,0.0,0.0,0.9431219857768074,0.02180439572039257,0.0350736185028,21.691804885864258,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Azarine,Azarine,Azarine,High,Low,0.0,0.14312112541726274,0.0,0.14312112541726274,0.8568788745827373,1.0000000000000002
182,5,5,18,18,1.0,4,9,5,0,0,0.2222222222222222,0.5,0.2777777777777778,0.2514542671983966,0.5209476544870892,0.2275980783145142,14.75403881072998,Neutral,Neutral Engagement,Assigned,High,0.2222222222222222,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Daviena,Daviena,High,Medium,0.12499569146355476,0.5087307754619452,0.2903070395897999,0.7096929604102001,0.09000781913382,0.4521502645230549
183,6,6,15,15,1.0,7,6,2,0,0,0.4666666666666667,0.4,0.13333333333333333,0.43272145589192706,0.4405550956726074,0.12672344843546549,13.362443923950195,Positive,Mixed Goals,Assigned,Low,0.06666666666666665,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Maryame,Maryame + Azarine,Medium,Low,0.037360469891359285,0.3788249920651624,0.19824228082594664,0.6425355724349229,0.24809225259746442,0.6988336984894922
184,7,7,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,The Originote,The Originote,The Originote,High,Low,,,,,,
193,5,5,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,The Originote,The Originote,The Originote,High,Medium,,,,,,
204,4,4,18,18,1.0,18,0,0,0,0,1.0,0.0,0.0,0.9241109179361419,0.04331383325487155,0.03257524880898664,16.633996963500977,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Azarine,Azarine,Azarine,High,Low,0.0,0.1758845505823749,0.0,0.1758845505823749,0.8241154494176252,1.0000000000000002
205,5,5,23,23,1.0,23,0,0,0,0,1.0,0.0,0.0,0.9474047779732102,0.028052322362353076,0.024542899664436763,21.790311813354492,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,The Originote,The Originote,The Originote,High,Medium,0.0,0.14312112541726274,0.0,0.14312112541726274,0.8568788745827373,1.0000000000000002
206,5,5,23,23,1.0,23,0,0,0,0,1.0,0.0,0.0,0.9334705774299327,0.030195354632829723,0.0363340679372376,21.469823837280273,Positive,Promotional / Supportive,Assigned,High,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Maryame,Maryame,High,Medium,0.0,0.14312112541726274,0.0,0.14312112541726274,0.8568788745827373,1.0000000000000002
